Id,Sales
1,4514.657891646028
2,6983.144222944975
3,8636.645685344934
4,5678.7631317824125
5,6211.310342907906
6,5473.2756870538
7,7793.1405346393585
8,7365.513386771083
9,4924.775247067213
10,5445.728102698922
11,6274.762908309698
12,7700.944171339273
13,6515.4569236934185
14,7728.73818063736
15,5096.30434396863
16,4522.102649226785
17,5305.651620596647
18,9218.722452580929
19,11043.200722813606
20,9279.300885856152
21,6932.919971391559
22,5085.331004098058
23,5570.668025538325
24,4107.580602735281
25,7983.132927536964
26,9382.507119357586
27,8742.463527917862
28,5493.961141645908
29,4907.004789039493
30,4582.4934775829315
31,4915.029697805643
32,10001.566821977496
33,6858.371472805738
34,4873.33558806777
35,4972.574875310063
36,6977.090094566345
37,4008.82673548162
38,6841.661632686853
39,4006.2213179916143
40,6088.169693648815
41,7013.432201266289
42,5234.379706934094
43,6785.290379032493
44,5892.7862907499075
45,4453.835510060191
46,6635.666478276253
47,6425.39913263917
48,9772.109907835722
49,5723.7034876942635
50,7890.26911175251
51,7068.61467127502
52,9096.477725163102
53,6257.945334672928
54,8936.260028481483
55,4525.870845720172
56,4663.38277477026
57,6123.722373709083
58,5651.34866642952
59,8489.024761199951
60,7120.518698886037
61,5477.357177570462
62,7138.19256824255
63,6366.531433328986
64,9125.64998050034
65,3819.5562809854746
66,12712.452330201864
67,4714.896732747555
68,5878.169824331999
69,7996.6336709707975
70,5307.58648981154
71,5797.138120770454
72,6107.260816007853
73,6977.726589143276
74,4900.955613926053
75,4831.432822033763
76,7459.823555991054
77,7021.211304247379
78,6813.577857375145
79,4459.0110530257225
80,6921.699587419629
81,10264.21804279089
82,6208.465311214328
83,4556.48264375329
84,6420.058274447918
85,5814.5079834759235
86,6781.387825220823
87,6631.897662624717
88,3932.1470945477486
89,7245.978714570403
90,5864.211523026228
91,6796.201803088188
92,6440.771591156721
93,4503.609633639455
94,6220.7339299321175
95,4836.9247548133135
96,6912.427694141865
97,8831.641495242715
98,4978.334284409881
99,4963.279454022646
100,5920.201994419098
101,5481.940186187625
102,5115.0673125088215
103,8071.500416845083
104,6461.109078869224
105,7198.823629960418
106,5512.044274538755
107,4631.549996867776
108,6054.002689525485
109,7493.55095782876
110,8181.847401276231
111,7443.493878975511
112,7610.4746401160955
113,5485.557927250862
114,7973.374995112419
115,5646.459174528718
116,7287.665394410491
117,8255.636192813516
118,6414.278433129191
119,9617.286936104298
120,7281.527060523629
121,7408.858791291714
122,5521.005350425839
123,6793.59762391448
124,7223.471077546477
125,6232.376579761505
126,4038.0460468381643
127,5439.192888438702
128,7608.467948555946
129,6807.617221876979
130,4975.43538595736
131,8536.601492509246
132,6570.360772535205
133,5515.188978776336
134,5343.153410509229
135,5450.502431184053
136,6836.259477838874
137,6879.622837945819
138,6503.907766744494
139,4877.381167411804
140,4818.003281787038
141,6366.8527764081955
142,3578.485198289156
143,6258.515579327941
144,4878.114250659943
145,8468.73185287416
146,6956.971788838506
147,6317.247063845396
148,8222.950214982033
149,5430.539534151554
150,4604.326232224703
151,10198.190398648381
152,6586.733171463013
153,7364.201390653849
154,7357.483524739742
155,4867.291366219521
156,5777.8296739012
157,5308.963497534394
158,7242.113929405808
159,11244.277284890413
160,5801.643734619021
161,3005.2642500549555
162,4775.572373852134
163,7741.702113956213
164,8748.492270812392
165,5874.337854549289
166,6873.994071215391
167,4543.180030927062
168,5179.013966113329
169,3209.5554812401533
170,5057.223700776696
171,5545.923989281058
